+---------------------+------------+------+------+
| upload_time         | visitor_id | xoff | w    |
| 2015-04-05 20:11:12 |         -1 |  180 |  260 |
| 2015-04-05 20:11:15 |         -1 |  180 |  220 |
| 2015-04-05 20:11:17 |         -1 |  160 |  220 |
| 2015-04-05 20:11:19 |         -1 |  160 |  220 |
| 2015-04-05 20:11:22 |         -1 |  140 |  240 |
| 2015-04-05 20:11:24 |         -1 |  160 |  240 |
| 2015-04-05 20:11:26 |         -1 |  160 |  240 |
| 2015-04-05 20:11:29 |         -1 |  160 |  240 |
| 2015-04-05 20:11:31 |         -1 |  180 |  200 |
| 2015-04-05 20:11:34 |         -1 |  180 |  220 |
| 2015-04-05 20:11:36 |         -1 |  180 |  200 |
| 2015-04-05 20:11:36 |         -1 |  520 |  100 |
| 2015-04-05 20:11:39 |         -1 |  460 |  160 |
| 2015-04-05 20:11:39 |         -1 |  160 |  220 |
| 2015-04-05 20:11:41 |         -1 |  460 |  140 |
| 2015-04-05 20:11:41 |         -1 |  180 |  240 |
| 2015-04-05 20:11:44 |         -1 |  440 |  160 |
| 2015-04-05 20:11:44 |         -1 |  160 |  240 |
| 2015-04-05 20:11:46 |         -1 |  180 |  240 |
| 2015-04-05 20:11:46 |         -1 |  440 |  160 |
| 2015-04-05 20:11:49 |         -1 |  460 |  160 |
| 2015-04-05 20:11:49 |         -1 |  180 |  220 |
| 2015-04-05 20:11:51 |         -1 |  200 |  220 |
| 2015-04-05 20:11:51 |         -1 |  460 |  140 |
| 2015-04-05 20:11:54 |         -1 |  420 |  180 |
| 2015-04-05 20:11:54 |         -1 |  200 |  220 |
| 2015-04-05 20:11:56 |         -1 |  420 |  180 |
| 2015-04-05 20:11:56 |         -1 |  180 |  220 |
| 2015-04-05 20:11:59 |         -1 |  400 |  180 |
| 2015-04-05 20:11:59 |         -1 |  100 |  260 |
| 2015-04-05 20:12:01 |         -1 |  400 |  200 |
| 2015-04-05 20:12:01 |         -1 |  100 |  260 |
| 2015-04-05 20:12:04 |         -1 |  400 |  200 |
| 2015-04-05 20:12:04 |         -1 |  100 |  240 |
| 2015-04-05 20:12:06 |         -1 |   60 |  240 |
| 2015-04-05 20:12:08 |         -1 |  440 |  180 |
| 2015-04-05 20:12:11 |         -1 |  180 |  180 |
| 2015-04-05 20:12:13 |         -1 |  200 |  180 |
| 2015-04-05 20:12:15 |         -1 |  200 |  180 |
| 2015-04-05 20:12:18 |         -1 |  200 |  180 |
| 2015-04-05 20:12:23 |         -1 |  200 |  200 |
| 2015-04-05 20:12:25 |         -1 |  240 |  200 |
| 2015-04-05 20:12:27 |         -1 |  260 |  200 |
| 2015-04-05 20:12:29 |         -1 |  240 |  220 |
| 2015-04-05 20:12:32 |         -1 |  260 |  200 |
| 2015-04-05 20:12:34 |         -1 |  240 |  220 |
| 2015-04-05 20:12:36 |         -1 |  260 |  200 |
| 2015-04-05 20:12:39 |         -1 |  260 |  200 |
| 2015-04-05 20:12:41 |         -1 |  280 |  200 |
| 2015-04-05 20:12:44 |         -1 |  160 |  160 |
| 2015-04-05 20:12:46 |         -1 |  140 |  160 |
| 2015-04-05 20:12:48 |         -1 |  120 |  160 |
| 2015-04-05 20:12:53 |         -1 |  280 |  200 |
| 2015-04-05 20:12:58 |         -1 |  220 |  140 |
| 2015-04-05 20:13:02 |         -1 |   20 |  140 |
| 2015-04-05 20:13:04 |         -1 |   20 |  140 |
| 2015-04-05 20:13:23 |         -1 |  140 |  140 |
| 2015-04-05 20:13:25 |         -1 |  140 |  140 |
| 2015-04-05 20:14:32 |         -1 |  540 |  100 |
| 2015-04-05 20:15:34 |         13 |  580 |   60 |
| 2015-04-05 20:15:34 |         13 |  480 |  100 |
| 2015-04-05 20:17:19 |         -1 |   80 |  100 |
| 2015-04-05 20:17:20 |         -1 |   60 |  120 |
| 2015-04-05 20:17:59 |         -1 |  200 |  160 |
| 2015-04-05 20:18:01 |         -1 |  180 |  140 |
| 2015-04-05 20:18:03 |         -1 |  180 |  140 |
| 2015-04-05 20:18:05 |         -1 |  280 |  200 |
| 2015-04-05 20:18:08 |         -1 |  240 |  180 |
| 2015-04-05 20:18:13 |         -1 |  260 |  180 |
| 2015-04-05 20:18:15 |         -1 |  220 |  180 |
| 2015-04-05 20:18:18 |         -1 |  220 |  180 |
| 2015-04-05 20:18:20 |         -1 |  220 |  180 |
| 2015-04-05 20:18:22 |         -1 |  220 |  200 |
| 2015-04-05 20:18:25 |         -1 |  240 |  180 |
| 2015-04-05 20:18:27 |         -1 |  240 |  180 |
| 2015-04-05 20:18:29 |         -1 |  240 |  180 |
| 2015-04-05 20:18:31 |         -1 |  240 |  180 |
| 2015-04-05 20:18:34 |         -1 |  240 |  180 |
| 2015-04-05 20:18:36 |         -1 |  220 |  220 |
| 2015-04-05 20:18:41 |         -1 |  220 |  180 |
| 2015-04-05 20:18:43 |         14 |  220 |  140 |
| 2015-04-05 20:18:46 |         -1 |  260 |  180 |
| 2015-04-05 20:19:02 |         -1 |   60 |  140 |
| 2015-04-05 20:28:54 |         -1 |  180 |  240 |
| 2015-04-05 20:28:55 |         -1 |  220 |  220 |
| 2015-04-05 20:28:58 |         15 |  400 |   60 |
| 2015-04-05 20:28:58 |         -1 |  160 |  280 |
| 2015-04-05 20:29:00 |         -1 |  160 |  260 |
| 2015-04-05 20:29:03 |         -1 |  180 |  240 |
| 2015-04-05 20:29:10 |         -1 |  240 |  240 |
| 2015-04-05 20:29:14 |         -1 |  200 |  240 |
| 2015-04-05 20:29:16 |         -1 |  200 |  240 |
| 2015-04-05 20:29:21 |         -1 |  260 |  240 |
| 2015-04-05 20:29:23 |         -1 |  160 |  240 |
| 2015-04-05 20:29:33 |         -1 |  200 |  240 |
| 2015-04-05 20:29:35 |         -1 |  220 |  260 |
| 2015-04-05 20:29:37 |         -1 |  200 |  240 |
| 2015-04-05 20:29:39 |         -1 |  120 |  240 |
| 2015-04-05 20:29:42 |         -1 |  100 |  240 |
| 2015-04-05 20:29:44 |         -1 |  120 |  240 |
| 2015-04-05 20:29:47 |         -1 |  120 |  240 |
| 2015-04-05 20:29:49 |         -1 |  160 |  220 |
| 2015-04-05 20:29:51 |         -1 |  160 |  240 |
| 2015-04-05 20:29:59 |         -1 |  160 |  240 |
| 2015-04-05 20:30:01 |         -1 |  160 |  240 |
| 2015-04-05 20:30:03 |         -1 |  180 |  240 |
| 2015-04-05 20:30:06 |         16 |  460 |  100 |
| 2015-04-05 20:30:11 |         -1 |  100 |  240 |
| 2015-04-05 20:30:13 |         -1 |  300 |  220 |
